,db_index_budynki,coordsY_budynki,coordsX_budynki,db_index,coordsY,coordsX,distances,klasyfikacja
0,186,21.02499107309441,52.268094730514086,7472,21.026363899574335,52.266966699653494,[5.957166136474352],0
1,250,21.006458460820355,52.31614598957712,8992,21.005688900322525,52.31538060033449,[12.383809782668017],0
2,316,20.959221375156886,52.25656975267638,7152,20.9577889001377,52.258155600000975,[7.736655572447293],0
3,565,20.976362738066562,52.21929092061788,4514,20.977761099894906,52.218905600313235,[4.365236160517129],0
4,572,20.99702420603972,52.22563153533965,4925,20.99658329967957,52.225327800237835,[2.897105367583855],0
5,628,21.020133407855326,52.14212696062877,703,21.02142779965328,52.14129719960613,[10.242230093592077],0
6,693,21.15516174537044,52.25925587128547,7101,21.155261099720008,52.25944440043878,[10.96780983970622],0
7,715,21.140912539127395,52.24409015955781,6212,21.140855600005978,52.24583060000225,[8.674380543918955],0
8,1642,21.077051542778353,52.17533270023355,1864,21.076791699777175,52.17591669979589,[6.687655110349387],0
9,1706,21.060285601409166,52.14000019826796,728,21.060958299685808,52.14080280000928,[10.962356698919816],0
10,1732,21.02376676655964,52.13857400202236,670,21.024483300264137,52.13793889996032,[10.780375083582484],0
11,1778,21.01680921902794,52.12200223338294,478,21.018261099670042,52.12167499980143,[12.221991375739375],0
12,1781,21.010076689702654,52.11028150268215,395,21.009447200427985,52.11048609985369,[14.003299800981026],0
13,2011,21.132917506124684,52.15306307866179,704,21.131736100340788,52.152702800194106,[12.604390353230434],0
14,2097,21.027086373696033,52.11474307542656,423,21.03160829968334,52.11325559986608,[13.931830869945255],0
15,2127,21.101943849279763,52.11470835341387,474,21.098847199738543,52.11694440036382,[13.860744096922016],0
16,2231,21.159555478882588,52.2586034144708,7060,21.16091110036706,52.25867220026191,[10.776310071961198],0
17,2283,21.17131814018653,52.28411346842821,8258,21.172188900097694,52.28574170031925,[0],0
18,2305,21.170649531073867,52.28183839125797,8080,21.170244400358854,52.280849999927625,[0],0
19,2445,21.171243695420582,52.26929412420893,7564,21.170319400220194,52.26916670038298,[12.185136568272567],0
20,2453,21.150119423997666,52.26411536865022,7400,21.14943609999608,52.26547499957161,[11.234588861562314],0
21,2636,21.168425276531586,52.2695074764593,7532,21.16902780019285,52.26853610026086,[12.146463762179662],0
22,2738,21.16538906350285,52.26776063960643,7401,21.165541699689754,52.2673027996845,[11.99112156076465],0
23,3116,21.06533531975962,52.28361661871157,8195,21.066449999867643,52.28339169986708,[8.485314420238291],0
24,3137,21.066805204886773,52.283075846019145,8195,21.066449999867643,52.28339169986708,[8.485314420238291],0
25,3208,21.067809973523698,52.28097880377158,8101,21.068144399944174,52.28131110032706,[8.201458037257092],0
26,3282,21.071392635488372,52.26413503971668,7424,21.07068059963001,52.26406939968308,[7.221538295053045],0
27,3356,21.074301284296084,52.27763508626116,7982,21.074458299910646,52.278549999982545,[8.376213960986616],0
28,3377,21.069559698062662,52.27697076847991,7921,21.06794439971435,52.27716109960511,[0],0
29,3443,21.03839847904239,52.273712771327205,7817,21.03911390028634,52.27494719985344,[7.0019639913252245],0
30,3504,21.075380756115226,52.26827056006803,7130,21.07555830027536,52.268808299863224,[7.519762209620005],0
31,3639,21.0602660575779,52.27935748748194,7998,21.060350000052495,52.27898059987484,[7.96917853086578],0
32,3757,20.992728303573408,52.267998997202646,7503,20.99340000001007,52.26816389964432,[6.1159023879777905],0
33,3758,20.9861685628434,52.2679582590816,7513,20.986852799716985,52.26836110028461,[6.132643677435691],0
34,4388,21.047137469133503,52.28883862325214,8442,21.04765559992603,52.29021939960569,[9.02464738135577],0
35,4429,20.93363855057466,52.22491302702029,4871,20.933747199773507,52.22443890043496,[7.5702380841007795],0
36,4514,21.160693856891275,52.261745930174705,7253,21.160933300131774,52.26211939969062,[11.277448504252021],0
37,4546,21.159162584311357,52.25306449184639,6778,21.15842219962485,52.2532333001767,[10.396673549766353],0
38,4857,20.960001503380226,52.18590361709773,2433,20.959508299568427,52.18558890030755,[8.032071906807571],0
39,4991,20.938860207475177,52.18074429804207,2121,20.939272200052017,52.18040000005999,[9.56031978646629],0
40,5134,20.93722574608664,52.19687478129607,3101,20.93776669987335,52.196249999837676,[8.54391916125372],0
41,5388,20.897958211722987,52.20657556838438,3765,20.89758060036445,52.20674170036921,[10.880060678622067],0
42,5820,20.875686314522873,52.190204300842346,2675,20.875300000094967,52.18949439964689,[13.202158135817369],0
43,5821,20.876225110373856,52.189856304905376,2745,20.876619399965364,52.190622199854715,[13.21730039675843],0
44,5876,20.880573520504367,52.19032291904405,2758,20.880205600408203,52.19075280030154,[12.977463556840613],0
45,6114,20.870813144910084,52.18692762781702,2491,20.869805600148368,52.186474999621566,[13.690549155734756],0
46,6303,20.886249066383215,52.18603832994238,2444,20.88693060026702,52.18604169996456,[12.662919797037544],0
47,6316,20.885711300130286,52.18566891913199,2370,20.885225000033756,52.18478060044441,[12.926489093919491],0
48,6443,20.887064501049984,52.1960376042996,3032,20.887183299869434,52.195061099690065,[12.256394057567084],0
49,6483,20.987360960911296,52.25391555907035,6822,20.985700000154907,52.253897200395556,[5.366509284982973],0
